"CATEGORIE_PRODUIT","PAYS","TRIMESTRE"
"Viandes","Etats-Unis","Trimestre 4"
"Viandes","Su?de","Trimestre 1"
"Viandes","Espagne","Trimestre 2"
"Viandes","Etats-Unis","Trimestre 2"
"Poissons et fruits de mer","Mexique","Trimestre 3"
"Poissons et fruits de mer","Br?sil","Trimestre 1"
"Desserts","Br?sil","Trimestre 1"
"Desserts","Italie","Trimestre 4"
"Desserts","Venezuela","Trimestre 1"
"Desserts","Mexique","Trimestre 2"
"Boissons","Autriche","Trimestre 3"
"Boissons","Br?sil","Trimestre 2"
"Desserts","Mexique","Trimestre 3"
"Desserts","Autriche","Trimestre 1"
"Desserts","France","Trimestre 3"
"P?tes et c?r?ales","France","Trimestre 1"
"P?tes et c?r?ales","Royaume-Uni","Trimestre 4"
"Boissons","Italie","Trimestre 3"
"Boissons","Portugal","Trimestre 4"
"Boissons","France","Trimestre 4"
"Produits laitiers","Italie","Trimestre 1"
"Produits laitiers","France","Trimestre 1"
"Produits laitiers","Mexique","Trimestre 4"
"Produits laitiers","Autriche","Trimestre 1"
"Produits laitiers","Argentine","Trimestre 2"
"Boissons","Irlande","Trimestre 2"
"Boissons","Finlande","Trimestre 2"
"Boissons","Mexique","Trimestre 2"
"Condiments","Espagne","Trimestre 4"
"Condiments","Br?sil","Trimestre 3"
"Condiments","Royaume-Uni","Trimestre 4"
"Poissons et fruits de mer","Royaume-Uni","Trimestre 4"
"Poissons et fruits de mer","Danemark","Trimestre 1"
"Poissons et fruits de mer","Royaume-Uni","Trimestre 1"
"P?tes et c?r?ales","France","Trimestre 4"
"P?tes et c?r?ales","Canada","Trimestre 4"
"P?tes et c?r?ales","Belgique","Trimestre 2"
"P?tes et c?r?ales","Autriche","Trimestre 3"
"Boissons","Finlande","Trimestre 3"
"Condiments","Allemagne","Trimestre 3"
"Condiments","Br?sil","Trimestre 2"
"Boissons","Norv?ge","Trimestre 2"
"Produits secs","Finlande","Trimestre 1"
"Condiments","Venezuela","Trimestre 2"
"Condiments","Su?de","Trimestre 1"
"Produits laitiers","Royaume-Uni","Trimestre 4"
"Produits laitiers","Royaume-Uni","Trimestre 1"
"Boissons","Suisse","Trimestre 1"
"Desserts","Irlande","Trimestre 2"
"Produits secs","Royaume-Uni","Trimestre 2"
"Produits secs","Suisse","Trimestre 2"
"Viandes","Espagne","Trimestre 4"
"Viandes","Suisse","Trimestre 2"
"Viandes","Italie","Trimestre 3"
"Viandes","Danemark","Trimestre 4"
"Viandes","Su?de","Trimestre 4"
"Viandes","Br?sil","Trimestre 4"
"P?tes et c?r?ales","Suisse","Trimestre 2"
"P?tes et c?r?ales","Espagne","Trimestre 3"
"Produits laitiers","Italie","Trimestre 4"
"Condiments","Espagne","Trimestre 2"
"Desserts","Pologne","Trimestre 2"
"Condiments","France","Trimestre 3"
"Condiments","Italie","Trimestre 4"
"Produits secs","Danemark","Trimestre 3"
"Viandes","France","Trimestre 1"
"Poissons et fruits de mer","France","Trimestre 4"
"Poissons et fruits de mer","France","Trimestre 3"
"Poissons et fruits de mer","Allemagne","Trimestre 3"
"Desserts","Venezuela","Trimestre 3"
"Desserts","Etats-Unis","Trimestre 4"
"Desserts","Allemagne","Trimestre 3"
"Boissons","Suisse","Trimestre 3"
"Boissons","Pologne","Trimestre 3"
"Boissons","Venezuela","Trimestre 3"
"Boissons","Italie","Trimestre 2"
"Boissons","Allemagne","Trimestre 2"
"Desserts","Autriche","Trimestre 2"
"Desserts","Autriche","Trimestre 4"
"Desserts","Portugal","Trimestre 1"
"Desserts","Argentine","Trimestre 4"
"P?tes et c?r?ales","Italie","Trimestre 3"
"P?tes et c?r?ales","Allemagne","Trimestre 4"
"P?tes et c?r?ales","Venezuela","Trimestre 1"
"Boissons","Royaume-Uni","Trimestre 2"
"Produits laitiers","Allemagne","Trimestre 1"
"Produits laitiers","Etats-Unis","Trimestre 2"
"Produits laitiers","Venezuela","Trimestre 2"
"Produits laitiers","Belgique","Trimestre 3"
"Produits laitiers","Mexique","Trimestre 1"
"Boissons","Belgique","Trimestre 2"
"Poissons et fruits de mer","Etats-Unis","Trimestre 3"
"Boissons","Autriche","Trimestre 4"
"Boissons","Argentine","Trimestre 1"
"Condiments","Canada","Trimestre 4"
"Condiments","Etats-Unis","Trimestre 4"
"Condiments","Su?de","Trimestre 4"
"Poissons et fruits de mer","Canada","Trimestre 1"
"Poissons et fruits de mer","Danemark","Trimestre 2"
"Poissons et fruits de mer","Mexique","Trimestre 2"
"Poissons et fruits de mer","Italie","Trimestre 4"
"Poissons et fruits de mer","Belgique","Trimestre 2"
"Poissons et fruits de mer","Canada","Trimestre 2"
"Poissons et fruits de mer","Su?de","Trimestre 2"
"Condiments","Venezuela","Trimestre 1"
"Produits secs","France","Trimestre 4"
"Produits secs","Autriche","Trimestre 4"
"Produits secs","Royaume-Uni","Trimestre 1"
"Produits secs","Belgique","Trimestre 1"
"Produits secs","Venezuela","Trimestre 2"
"Produits secs","Autriche","Trimestre 2"
"Produits secs","Etats-Unis","Trimestre 4"
"Viandes","Royaume-Uni","Trimestre 1"
"Produits laitiers","France","Trimestre 4"
"Boissons","France","Trimestre 3"
"Produits laitiers","Finlande","Trimestre 3"
"Produits secs","Finlande","Trimestre 4"
"Produits secs","Autriche","Trimestre 1"
"Produits secs","Irlande","Trimestre 2"
"Produits secs","Br?sil","Trimestre 3"
"Viandes","Venezuela","Trimestre 1"
"Viandes","Venezuela","Trimestre 2"
"P?tes et c?r?ales","Espagne","Trimestre 1"
"P?tes et c?r?ales","Autriche","Trimestre 2"
"Desserts","Espagne","Trimestre 4"
"Desserts","Mexique","Trimestre 1"
"Produits laitiers","Suisse","Trimestre 4"
"Viandes","Espagne","Trimestre 1"
"Viandes","Mexique","Trimestre 1"
"Poissons et fruits de mer","Etats-Unis","Trimestre 4"
"Poissons et fruits de mer","Norv?ge","Trimestre 3"
"Poissons et fruits de mer","Allemagne","Trimestre 1"
"Poissons et fruits de mer","Etats-Unis","Trimestre 1"
"Poissons et fruits de mer","Autriche","Trimestre 2"
"Desserts","Etats-Unis","Trimestre 1"
"Desserts","Su?de","Trimestre 1"
"Boissons","Royaume-Uni","Trimestre 1"
"Boissons","France","Trimestre 1"
"Boissons","Autriche","Trimestre 2"
"Desserts","Royaume-Uni","Trimestre 2"
"Desserts","France","Trimestre 1"
"P?tes et c?r?ales","Etats-Unis","Trimestre 3"
"P?tes et c?r?ales","Allemagne","Trimestre 2"
"P?tes et c?r?ales","Royaume-Uni","Trimestre 3"
"P?tes et c?r?ales","Etats-Unis","Trimestre 2"
"Produits laitiers","Venezuela","Trimestre 4"
"Produits laitiers","Italie","Trimestre 3"
"Boissons","Portugal","Trimestre 2"
"Boissons","Etats-Unis","Trimestre 3"
"Poissons et fruits de mer","Finlande","Trimestre 3"
"Poissons et fruits de mer","Suisse","Trimestre 2"
"Boissons","Danemark","Trimestre 1"
"Boissons","Finlande","Trimestre 1"
"Condiments","Su?de","Trimestre 2"
"Condiments","Italie","Trimestre 3"
"Condiments","Finlande","Trimestre 3"
"Poissons et fruits de mer","Br?sil","Trimestre 4"
"Poissons et fruits de mer","Argentine","Trimestre 1"
"Poissons et fruits de mer","Finlande","Trimestre 1"
"Poissons et fruits de mer","Norv?ge","Trimestre 1"
"P?tes et c?r?ales","Br?sil","Trimestre 1"
"Poissons et fruits de mer","Finlande","Trimestre 4"
"Poissons et fruits de mer","Belgique","Trimestre 1"
"Desserts","Su?de","Trimestre 2"
"Desserts","Italie","Trimestre 1"
"Boissons","Espagne","Trimestre 2"
"Produits secs","Etats-Unis","Trimestre 1"
"Produits secs","Mexique","Trimestre 2"
"Produits secs","Etats-Unis","Trimestre 3"
"Produits secs","Belgique","Trimestre 3"
"Produits secs","Su?de","Trimestre 4"
"Produits secs","Br?sil","Trimestre 2"
"Viandes","Su?de","Trimestre 2"
"Condiments","Danemark","Trimestre 3"
"Condiments","Autriche","Trimestre 1"
"Condiments","Autriche","Trimestre 2"
"Poissons et fruits de mer","Autriche","Trimestre 3"
"Produits laitiers","Br?sil","Trimestre 3"
"Produits laitiers","Finlande","Trimestre 2"
"Produits laitiers","Irlande","Trimestre 3"
"Produits laitiers","Mexique","Trimestre 3"
"Boissons","Irlande","Trimestre 3"
"Poissons et fruits de mer","Portugal","Trimestre 4"
"Produits secs","Portugal","Trimestre 1"
"Produits secs","Argentine","Trimestre 4"
"Produits secs","Pologne","Trimestre 1"
"Viandes","Norv?ge","Trimestre 2"
"Viandes","Su?de","Trimestre 3"
"P?tes et c?r?ales","Italie","Trimestre 4"
"Produits laitiers","Portugal","Trimestre 4"
"Produits laitiers","Canada","Trimestre 4"
"Condiments","Pologne","Trimestre 1"
"Desserts","Danemark","Trimestre 1"
"Condiments","Danemark","Trimestre 4"
"Produits secs","Suisse","Trimestre 1"
"Produits secs","Venezuela","Trimestre 1"
"Boissons","Portugal","Trimestre 3"
"Viandes","Etats-Unis","Trimestre 1"
"Poissons et fruits de mer","France","Trimestre 2"
"Poissons et fruits de mer","Br?sil","Trimestre 2"
"Desserts","Br?sil","Trimestre 4"
"Desserts","Etats-Unis","Trimestre 3"
"Desserts","Mexique","Trimestre 4"
"Desserts","Norv?ge","Trimestre 1"
"Boissons","Su?de","Trimestre 4"
"Boissons","Br?sil","Trimestre 3"
"Boissons","Allemagne","Trimestre 3"
"Boissons","Mexique","Trimestre 1"
"Boissons","Su?de","Trimestre 1"
"Boissons","Espagne","Trimestre 1"
"Boissons","Suisse","Trimestre 2"
"Desserts","Argentine","Trimestre 1"
"Desserts","Canada","Trimestre 3"
"P?tes et c?r?ales","Canada","Trimestre 3"
"P?tes et c?r?ales","France","Trimestre 2"
"P?tes et c?r?ales","Canada","Trimestre 2"
"P?tes et c?r?ales","Venezuela","Trimestre 2"
"Boissons","Espagne","Trimestre 3"
"Boissons","Mexique","Trimestre 3"
"Produits laitiers","Su?de","Trimestre 3"
"Produits laitiers","Allemagne","Trimestre 3"
"Boissons","Danemark","Trimestre 4"
"Poissons et fruits de mer","Allemagne","Trimestre 2"
"Poissons et fruits de mer","Danemark","Trimestre 4"
"Poissons et fruits de mer","Espagne","Trimestre 2"
"Boissons","Venezuela","Trimestre 1"
"Condiments","Belgique","Trimestre 1"
"P?tes et c?r?ales","Irlande","Trimestre 2"
"P?tes et c?r?ales","Finlande","Trimestre 4"
"Condiments","Autriche","Trimestre 4"
"Condiments","Canada","Trimestre 1"
"Condiments","Mexique","Trimestre 3"
"Condiments","Allemagne","Trimestre 4"
"Condiments","France","Trimestre 1"
"Condiments","Belgique","Trimestre 2"
"Desserts","Canada","Trimestre 1"
"Boissons","Pologne","Trimestre 2"
"Desserts","Canada","Trimestre 2"
"Desserts","Autriche","Trimestre 3"
"Produits secs","Allemagne","Trimestre 3"
"Produits secs","Royaume-Uni","Trimestre 3"
"Viandes","Allemagne","Trimestre 4"
"Poissons et fruits de mer","Suisse","Trimestre 4"
"Produits laitiers","Br?sil","Trimestre 2"
"Poissons et fruits de mer","Espagne","Trimestre 1"
"Produits laitiers","Mexique","Trimestre 2"
"Produits laitiers","Irlande","Trimestre 1"
"Produits laitiers","Finlande","Trimestre 4"
"Produits secs","Autriche","Trimestre 3"
"Condiments","Venezuela","Trimestre 3"
"Produits secs","Irlande","Trimestre 4"
"Produits secs","Suisse","Trimestre 4"
"Produits secs","Danemark","Trimestre 1"
"P?tes et c?r?ales","Mexique","Trimestre 4"
"Viandes","Italie","Trimestre 2"
"P?tes et c?r?ales","Portugal","Trimestre 1"
"P?tes et c?r?ales","Portugal","Trimestre 4"
"P?tes et c?r?ales","Espagne","Trimestre 4"
"P?tes et c?r?ales","Mexique","Trimestre 2"
"P?tes et c?r?ales","Argentine","Trimestre 1"
"Desserts","Irlande","Trimestre 4"
"Desserts","Portugal","Trimestre 4"
"Boissons","Suisse","Trimestre 4"
"Produits laitiers","Royaume-Uni","Trimestre 3"
"Produits secs","Suisse","Trimestre 3"
"Produits secs","Italie","Trimestre 4"
"Poissons et fruits de mer","Canada","Trimestre 4"
"Poissons et fruits de mer","Irlande","Trimestre 2"
"Poissons et fruits de mer","Venezuela","Trimestre 1"
"Desserts","Allemagne","Trimestre 4"
"Desserts","Finlande","Trimestre 1"
"Desserts","Espagne","Trimestre 2"
"Desserts","Br?sil","Trimestre 3"
"Desserts","Venezuela","Trimestre 4"
"Desserts","Allemagne","Trimestre 2"
"Boissons","Allemagne","Trimestre 1"
"Desserts","Belgique","Trimestre 3"
"P?tes et c?r?ales","Royaume-Uni","Trimestre 1"
"P?tes et c?r?ales","Allemagne","Trimestre 1"
"Boissons","Danemark","Trimestre 2"
"Produits laitiers","Argentine","Trimestre 1"
"Produits laitiers","Royaume-Uni","Trimestre 2"
"Produits laitiers","Autriche","Trimestre 3"
"Produits laitiers","Irlande","Trimestre 4"
"Produits laitiers","Danemark","Trimestre 4"
"Produits laitiers","France","Trimestre 2"
"Boissons","Canada","Trimestre 1"
"Poissons et fruits de mer","Irlande","Trimestre 4"
"Poissons et fruits de mer","Royaume-Uni","Trimestre 2"
"Boissons","Italie","Trimestre 1"
"Condiments","France","Trimestre 2"
"Condiments","Br?sil","Trimestre 4"
"Poissons et fruits de mer","Espagne","Trimestre 4"
"Poissons et fruits de mer","Venezuela","Trimestre 2"
"Poissons et fruits de mer","Argentine","Trimestre 2"
"P?tes et c?r?ales","Suisse","Trimestre 4"
"Condiments","Su?de","Trimestre 3"
"Condiments","Mexique","Trimestre 2"
"Desserts","Canada","Trimestre 4"
"Desserts","France","Trimestre 4"
"Desserts","Royaume-Uni","Trimestre 1"
"Desserts","Espagne","Trimestre 1"
"Produits secs","Belgique","Trimestre 4"
"Produits secs","Mexique","Trimestre 4"
"Produits secs","Su?de","Trimestre 2"
"Viandes","Irlande","Trimestre 4"
"Viandes","Allemagne","Trimestre 1"
"Condiments","Allemagne","Trimestre 1"
"Produits laitiers","Pologne","Trimestre 1"
"Produits laitiers","Belgique","Trimestre 2"
"Produits laitiers","Autriche","Trimestre 4"
"Produits laitiers","Su?de","Trimestre 1"
"Boissons","Mexique","Trimestre 4"
"Poissons et fruits de mer","Irlande","Trimestre 3"
"Desserts","Su?de","Trimestre 3"
"Desserts","Danemark","Trimestre 2"
"Viandes","France","Trimestre 3"
"Produits secs","Su?de","Trimestre 3"
"Produits secs","France","Trimestre 1"
"Produits secs","Italie","Trimestre 2"
"P?tes et c?r?ales","Su?de","Trimestre 4"
"Viandes","Allemagne","Trimestre 2"
"Viandes","Portugal","Trimestre 4"
"Viandes","Danemark","Trimestre 3"
"Viandes","Pologne","Trimestre 1"
"Viandes","Royaume-Uni","Trimestre 4"
"Viandes","Danemark","Trimestre 1"
"P?tes et c?r?ales","Finlande","Trimestre 1"
"Produits laitiers","Suisse","Trimestre 3"
"Produits laitiers","Belgique","Trimestre 1"
"Produits laitiers","Italie","Trimestre 2"
"Condiments","Finlande","Trimestre 1"
"Condiments","Argentine","Trimestre 4"
"Desserts","Suisse","Trimestre 2"
"Condiments","Irlande","Trimestre 1"
"P?tes et c?r?ales","Canada","Trimestre 1"
"Condiments","Espagne","Trimestre 1"
"Desserts","Pologne","Trimestre 1"
"Produits laitiers","Danemark","Trimestre 3"
"Boissons","Espagne","Trimestre 4"
"Viandes","Autriche","Trimestre 2"
"Viandes","Etats-Unis","Trimestre 3"
"Viandes","Italie","Trimestre 4"
"Viandes","France","Trimestre 2"
"Poissons et fruits de mer","Autriche","Trimestre 1"
"Poissons et fruits de mer","Br?sil","Trimestre 3"
"Poissons et fruits de mer","Allemagne","Trimestre 4"
"Poissons et fruits de mer","France","Trimestre 1"
"Poissons et fruits de mer","Etats-Unis","Trimestre 2"
"Poissons et fruits de mer","Italie","Trimestre 2"
"Desserts","Br?sil","Trimestre 2"
"Desserts","Royaume-Uni","Trimestre 3"
"Desserts","Etats-Unis","Trimestre 2"
"Desserts","France","Trimestre 2"
"Boissons","Allemagne","Trimestre 4"
"Boissons","Etats-Unis","Trimestre 2"
"Desserts","Danemark","Trimestre 3"
"P?tes et c?r?ales","France","Trimestre 3"
"P?tes et c?r?ales","Finlande","Trimestre 2"
"P?tes et c?r?ales","Etats-Unis","Trimestre 4"
"P?tes et c?r?ales","Espagne","Trimestre 2"
"Boissons","Norv?ge","Trimestre 1"
"Produits laitiers","Etats-Unis","Trimestre 1"
"Produits laitiers","Allemagne","Trimestre 2"
"Produits laitiers","Autriche","Trimestre 2"
"Produits laitiers","Etats-Unis","Trimestre 4"
"Boissons","Venezuela","Trimestre 4"
"Poissons et fruits de mer","Italie","Trimestre 1"
"Condiments","Portugal","Trimestre 4"
"Condiments","Allemagne","Trimestre 2"
"Condiments","Br?sil","Trimestre 1"
"Poissons et fruits de mer","Su?de","Trimestre 3"
"Poissons et fruits de mer","Su?de","Trimestre 1"
"Poissons et fruits de mer","Autriche","Trimestre 4"
"P?tes et c?r?ales","Mexique","Trimestre 1"
"P?tes et c?r?ales","Portugal","Trimestre 2"
"Boissons","Belgique","Trimestre 4"
"Boissons","Finlande","Trimestre 4"
"Condiments","Etats-Unis","Trimestre 1"
"Condiments","Mexique","Trimestre 4"
"Poissons et fruits de mer","Royaume-Uni","Trimestre 3"
"Desserts","Venezuela","Trimestre 2"
"Boissons","Canada","Trimestre 3"
"Produits secs","Norv?ge","Trimestre 1"
"Produits secs","Italie","Trimestre 1"
"Produits secs","Argentine","Trimestre 2"
"Viandes","Danemark","Trimestre 2"
"Poissons et fruits de mer","Espagne","Trimestre 3"
"Poissons et fruits de mer","Norv?ge","Trimestre 2"
"Produits laitiers","Allemagne","Trimestre 4"
"Produits laitiers","France","Trimestre 3"
"Produits laitiers","Br?sil","Trimestre 4"
"Poissons et fruits de mer","Venezuela","Trimestre 4"
"Produits laitiers","Venezuela","Trimestre 1"
"Produits secs","Argentine","Trimestre 1"
"Viandes","Allemagne","Trimestre 3"
"Condiments","Autriche","Trimestre 3"
"Condiments","Royaume-Uni","Trimestre 2"
"Viandes","Mexique","Trimestre 2"
"Viandes","Belgique","Trimestre 2"
"Produits laitiers","Norv?ge","Trimestre 1"
"Produits laitiers","Portugal","Trimestre 2"
"Condiments","Danemark","Trimestre 1"
"Condiments","Suisse","Trimestre 2"
"P?tes et c?r?ales","Suisse","Trimestre 1"
"Produits secs","Allemagne","Trimestre 1"
"Condiments","Italie","Trimestre 1"
"Condiments","Finlande","Trimestre 4"
"Viandes","Canada","Trimestre 1"
"Viandes","Royaume-Uni","Trimestre 2"
"Viandes","Mexique","Trimestre 3"
"Viandes","Autriche","Trimestre 4"
"Viandes","Canada","Trimestre 2"
"Desserts","Belgique","Trimestre 2"
"Desserts","Finlande","Trimestre 4"
"Desserts","Suisse","Trimestre 4"
"P?tes et c?r?ales","Royaume-Uni","Trimestre 2"
"P?tes et c?r?ales","Su?de","Trimestre 2"
"P?tes et c?r?ales","Br?sil","Trimestre 2"
"Produits laitiers","Br?sil","Trimestre 1"
"Produits laitiers","Irlande","Trimestre 2"
"Produits laitiers","Etats-Unis","Trimestre 3"
"Produits laitiers","Canada","Trimestre 1"
"Produits laitiers","Canada","Trimestre 2"
"Boissons","Argentine","Trimestre 2"
"Boissons","Autriche","Trimestre 1"
"Boissons","Royaume-Uni","Trimestre 3"
"Poissons et fruits de mer","Suisse","Trimestre 3"
"Condiments","Portugal","Trimestre 2"
"Condiments","Italie","Trimestre 2"
"Condiments","Etats-Unis","Trimestre 2"
"Poissons et fruits de mer","Venezuela","Trimestre 3"
"P?tes et c?r?ales","Irlande","Trimestre 4"
"P?tes et c?r?ales","Italie","Trimestre 1"
"P?tes et c?r?ales","Br?sil","Trimestre 4"
"P?tes et c?r?ales","Belgique","Trimestre 1"
"Condiments","Etats-Unis","Trimestre 3"
"Condiments","Canada","Trimestre 2"
"Desserts","Italie","Trimestre 2"
"Desserts","Belgique","Trimestre 1"
"Produits secs","Allemagne","Trimestre 4"
"Viandes","Finlande","Trimestre 3"
"Viandes","Espagne","Trimestre 3"
"Viandes","Suisse","Trimestre 4"
"Viandes","Br?sil","Trimestre 1"
"Viandes","Irlande","Trimestre 1"
"Viandes","Portugal","Trimestre 2"
"Condiments","Royaume-Uni","Trimestre 3"
"Poissons et fruits de mer","Su?de","Trimestre 4"
"Poissons et fruits de mer","Irlande","Trimestre 1"
"Produits laitiers","Su?de","Trimestre 4"
"Produits laitiers","Canada","Trimestre 3"
"Poissons et fruits de mer","Finlande","Trimestre 2"
"Produits secs","Mexique","Trimestre 3"
"Desserts","Suisse","Trimestre 3"
"Viandes","Belgique","Trimestre 4"
"Viandes","Canada","Trimestre 4"
"Condiments","Argentine","Trimestre 2"
"Produits secs","Irlande","Trimestre 3"
"Produits secs","Br?sil","Trimestre 4"
"Produits secs","Su?de","Trimestre 1"
"P?tes et c?r?ales","Danemark","Trimestre 1"
"P?tes et c?r?ales","Autriche","Trimestre 4"
"Poissons et fruits de mer","Pologne","Trimestre 1"
"Produits laitiers","Danemark","Trimestre 2"
"Condiments","Canada","Trimestre 3"
"Produits laitiers","Pologne","Trimestre 3"
"Produits laitiers","Espagne","Trimestre 2"
"Condiments","Danemark","Trimestre 2"
"Condiments","Irlande","Trimestre 2"
"Produits laitiers","Danemark","Trimestre 1"
"Produits laitiers","Finlande","Trimestre 1"
"Produits laitiers","Su?de","Trimestre 2"
"Produits secs","Canada","Trimestre 1"
"Produits secs","Pologne","Trimestre 2"
"Condiments","Norv?ge","Trimestre 2"
"Viandes","Autriche","Trimestre 1"
"Viandes","Br?sil","Trimestre 2"
"Desserts","Espagne","Trimestre 3"
"Desserts","Allemagne","Trimestre 1"
"Boissons","Su?de","Trimestre 3"
"Boissons","Irlande","Trimestre 4"
"Boissons","Etats-Unis","Trimestre 1"
"Boissons","Venezuela","Trimestre 2"
"Boissons","Etats-Unis","Trimestre 4"
"Boissons","Royaume-Uni","Trimestre 4"
"Boissons","Pologne","Trimestre 1"
"Boissons","Br?sil","Trimestre 1"
"Boissons","Belgique","Trimestre 1"
"Desserts","Argentine","Trimestre 2"
"Desserts","Portugal","Trimestre 2"
"P?tes et c?r?ales","Br?sil","Trimestre 3"
"P?tes et c?r?ales","Autriche","Trimestre 1"
"P?tes et c?r?ales","Su?de","Trimestre 1"
"Produits laitiers","Suisse","Trimestre 2"
"Boissons","France","Trimestre 2"
"Boissons","Br?sil","Trimestre 4"
"Boissons","Su?de","Trimestre 2"
"Condiments","Irlande","Trimestre 4"
"P?tes et c?r?ales","Allemagne","Trimestre 3"
"P?tes et c?r?ales","Mexique","Trimestre 3"
"P?tes et c?r?ales","Etats-Unis","Trimestre 1"
"Boissons","Canada","Trimestre 2"
"Desserts","Portugal","Trimestre 3"
"Produits secs","Br?sil","Trimestre 1"
"Produits secs","France","Trimestre 2"
"Produits secs","Allemagne","Trimestre 2"
"Produits secs","Etats-Unis","Trimestre 2"
"Produits secs","Danemark","Trimestre 4"
"Viandes","Venezuela","Trimestre 3"
"Viandes","Br?sil","Trimestre 3"
"Viandes","Mexique","Trimestre 4"
"Viandes","France","Trimestre 4"
"Poissons et fruits de mer","Mexique","Trimestre 4"
"Desserts","Royaume-Uni","Trimestre 4"
"Desserts","Finlande","Trimestre 2"
"Condiments","Royaume-Uni","Trimestre 1"
"Desserts","Irlande","Trimestre 1"
"Produits secs","France","Trimestre 3"
"Produits secs","Espagne","Trimestre 2"
"Produits secs","Canada","Trimestre 2"
"Viandes","Finlande","Trimestre 1"
"Viandes","Royaume-Uni","Trimestre 3"
"Viandes","Suisse","Trimestre 3"
"Produits laitiers","Venezuela","Trimestre 3"
"Produits laitiers","Suisse","Trimestre 1"
"Condiments","Pologne","Trimestre 2"
"Desserts","Italie","Trimestre 3"
"Condiments","Suisse","Trimestre 4"
"Condiments","France","Trimestre 4"
"Boissons","Irlande","Trimestre 1"
"Condiments","Irlande","Trimestre 3"
